,name,price
Telefon_0,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Black","794,00 Lei"
Telefon_1,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal","533,51 Lei"
Telefon_2,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Violet","1.826,36 Lei"
Telefon_3,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Black","691,60 Lei"
Telefon_4,"Telefon mobil Motorola Edge 30 Ultra, Dual SIM, 256GB, 12GB RAM, 5G, Interstellar Black","2.599,99 Lei"
Telefon_5,"Telefon mobil Samsung Galaxy S21 FE, Dual SIM, 6GB RAM, 128GB, 5G, Graphite","2.265,39 Lei"
Telefon_6,"Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight","3.799,99 Lei"
Telefon_7,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black","1.499,99 Lei"
Telefon_8,"Telefon mobil Apple iPhone 11, 64GB, Black","2.299,99 Lei"
Telefon_9,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey","865,86 Lei"
Telefon_10,"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey","865,86 Lei"
Telefon_11,"Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight","3.249,99 Lei"
Telefon_12,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Matte Charcoal","533,51 Lei"
Telefon_13,"Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Marshmallow Blue","1.399,99 Lei"
Telefon_14,"Telefon mobil Samsung Galaxy A34, Dual SIM, 8GB RAM, 256GB, 5G, Black","1.674,31 Lei"
Telefon_15,"Telefon mobil Apple iPhone 13, 128GB, 5G, Pink","3.399,99 Lei"
Telefon_16,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Mint Green","1.199,99 Lei"
Telefon_17,"Telefon mobil Apple iPhone 14, 128GB, 5G, Purple","3.899,99 Lei"
Telefon_18,"Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 128GB, 5G, Phantom Black","3.469,62 Lei"
Telefon_19,"Telefon mobil Motorola Edge 30, Dual SIM, 256GB, 8GB RAM, 5G, Meteor Grey","1.355,70 Lei"
Telefon_20,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Midnight Blue","1.199,99 Lei"
Telefon_21,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Silver","789,02 Lei"
Telefon_22,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Nebula Green","1.499,99 Lei"
Telefon_23,"Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","3.888,92 Lei"
Telefon_24,"Telefon mobil Apple iPhone 11, 128GB, Black","2.699,99 Lei"
Telefon_25,"Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Viva Magenta","4.499,99 Lei"
Telefon_26,"Telefon mobil Apple iPhone 13, 128GB, 5G, Starlight","3.399,99 Lei"
Telefon_27,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Black","580,72 Lei"
Telefon_28,"Telefon mobil Motorola razr 40 ultra, Dual SIM, 8GB RAM, 256GB, 5G, Infinite Black","4.499,99 Lei"
Telefon_29,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Graphite","1.826,36 Lei"
Telefon_30,"Telefon mobil Apple iPhone 15, 128GB, 5G, Blue","4.600,50 Lei"
Telefon_31,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM, 128GB, 5G, Awesome Graphite","1.623,58 Lei"
Telefon_32,"Telefon mobil Motorola Edge 40, Dual SIM, 8GB RAM, 256GB, 5G, Leather Eclipse Black","1.499,99 Lei"
Telefon_33,"Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Cosmic Black","354,99 Lei"
Telefon_34,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 128GB, 4G, Light Green","793,16 Lei"
Telefon_35,"Telefon mobil Apple iPhone 15 Pro, 128GB, 5G, Blue Titanium","5.949,99 Lei"
Telefon_36,"Telefon mobil Xiaomi Redmi Note 12 Pro, 8GB RAM, 256GB, 5G, Midnight Black","1.499,99 Lei"
Telefon_37,"Telefon mobil Apple iPhone 15, 128GB, 5G, Black","4.610,01 Lei"
Telefon_38,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Black","1.100,48 Lei"
Telefon_39,"Telefon mobil Samsung Galaxy A54, Dual SIM, 8GB RAM,256GB, 5G, Awesome Lime","1.825,35 Lei"
Telefon_40,"Telefon mobil Samsung Galaxy A04s, 32GB, 3GB RAM, 4G, Green","596,39 Lei"
Telefon_41,"Telefon mobil Apple iPhone 15, 128GB, 5G, Pink","4.689,99 Lei"
Telefon_42,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Black","469,00 Lei"
Telefon_43,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Black","1.299,99 Lei"
Telefon_44,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Light Green","692,69 Lei"
Telefon_45,"Telefon mobil Apple iPhone 12, 64GB, 5G, Black","2.649,99 Lei"
Telefon_46,"Telefon mobil Samsung Galaxy A14, Dual SIM, 4GB RAM, 64GB, 4G, Silver","700,01 Lei"
Telefon_47,"Telefon mobil Nokia 150 (2023), Dual SIM, Black","185,18 Lei"
Telefon_48,"Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Sunrise Beige","1.799,99 Lei"
Telefon_49,"Telefon mobil Apple iPhone 11, 64GB, White","2.299,99 Lei"
Telefon_50,"Telefon mobil Samsung Galaxy S23 Ultra, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","5.099,99 Lei"
Telefon_51,"Telefon mobil Motorola Moto E22, Dual SIM, 64GB, 4GB RAM, 4G, Crystal Blue","472,99 Lei"
Telefon_52,"Telefon mobil Samsung Galaxy A34, Dual SIM, 6GB RAM, 128GB, 5G, Silver","1.428,42 Lei"
Telefon_53,"Telefon mobil Samsung Galaxy A04e, 32GB, 3GB RAM, 4G, Copper","469,00 Lei"
Telefon_54,"Telefon mobil Samsung Galaxy S23 Plus, Dual SIM, 8GB RAM, 256GB, 5G, Phantom Black","4.450,01 Lei"
Telefon_55,"Telefon mobil Xiaomi Redmi 12, 8Gb RAM, 256GB, Sky Blue","888,12 Lei"
Telefon_56,"Telefon mobil Motorola Moto g54, Power Edition, 256GB, 12GB RAM, 5G, Mint Green","1.199,99 Lei"
Telefon_57,"Telefon mobil Xiaomi Redmi Note 12S, 8GB RAM, 256GB, Onyx Black","929,99 Lei"
Telefon_58,"Telefon mobil OPPO Reno7 Lite, Dual SIM, 128GB, 8GB RAM, 5G, Cosmic Black","949,99 Lei"
Telefon_59,"Telefon mobil Motorola Moto e13, Dual SIM, 64GB, 2GB RAM, Autora Green","354,99 Lei"
Telefon_60,"Telefon mobil Motorola Moto g32, Dual SIM, 256GB, 8GB RAM, Mineral Grey","798,99 Lei"
Telefon_61,"Telefon mobil Motorola Moto g84, Dual SIM, 256GB, 12GB RAM, 5G, Marshmallow Blue","1.399,99 Lei"
Telefon_62,"Telefon mobil Nokia 105 (2023), Dual SIM, Charcoal","106,49 Lei"
Telefon_63,"Telefon mobil Xiaomi Redmi 12, 8Gb RAM, 256GB, Midnight Black","854,99 Lei"
Telefon_64,"Telefon mobil Motorola Moto g32, Dual SIM, 128GB, 6GB RAM, 4G, Mineral Grey","699,99 Lei"
Telefon_65,"Telefon mobil Nokia 106, Dual SIM, Negru","68,50 Lei"
Telefon_66,"Telefon mobil realme 11 Pro+, Dual SIM, 12GB RAM, 512GB, 5G, Astral Black","1.799,99 Lei"
Telefon_67,"Telefon mobil Motorola Moto g13, Dual SIM, 128GB, 4GB RAM, Lavander Blue","549,99 Lei"
Telefon_68,"Telefon mobil Motorola Moto E22, Dual SIM, 64GB, 4GB RAM, 4G, Astro Black","460,99 Lei"
Telefon_69,"Telefon mobil Samsung Galaxy A23, 4GB RAM, 64GB, 5G, Light Blue","1.060,23 Lei"
